Designator,Mid X,Mid Y,Rotation,Layer
C1,179.982125,-120.967014,0.0,top
C10,172.642125,-121.204264,90.0,top
C11,179.948125,-132.157907,315.0,top
C12,176.423875,-122.998032,90.0,top
C13,167.406875,-125.538032,90.0,top
C14,173.531125,-136.825264,270.0,top
C15,166.390875,-131.380032,225.0,top
C16,179.119125,-124.252264,0.0,top
C17,179.119125,-125.776264,0.0,top
C2,176.962125,-112.922014,180.0,top
C3,169.162125,-115.982014,0.0,top
C4,175.407875,-122.998032,90.0,top
C5,171.118125,-121.204264,90.0,top
C6,175.055125,-136.825264,270.0,top
C7,166.927125,-140.651032,270.0,top
C8,173.629875,-140.397032,90.0,top
C9,179.982125,-119.767014,180.0,top
CH1,36.840011,-157.626938,0.0,bottom
CH10,231.133226,-162.971875,0.0,bottom
CH11,254.510858,-147.845419,0.0,bottom
CH12,281.476049,-146.47998,0.0,bottom
CH13,308.441239,-157.631062,0.0,bottom
CH14,129.015949,-219.88486,0.0,bottom
CH15,147.840929,-237.9628,0.0,bottom
CH16,197.440321,-237.966923,0.0,bottom
CH17,216.265301,-219.888983,0.0,bottom
CH18,235.56388,-201.861897,0.0,bottom
CH19,192.761359,-208.659605,0.0,bottom
CH2,63.805201,-146.475856,0.0,bottom
CH20,212.080834,-190.606846,0.0,bottom
CH3,90.770392,-147.841295,0.0,bottom
CH4,114.148024,-162.967751,0.0,bottom
CH5,172.640625,-162.971875,0.0,bottom
CH6,227.089045,-137.22861,0.0,bottom
CH7,250.621452,-122.010911,0.0,bottom
CH8,277.338697,-120.595312,0.0,bottom
CH9,304.231484,-131.691852,0.0,bottom
D1,180.512125,-116.752014,90.0,top
D2,182.892125,-111.822014,90.0,top
D3,185.019625,-127.842014,180.0,top
F1,177.772125,-109.802014,0.0,top
J1,172.640625,-99.235925,180.0,top
MX1,36.840011,-157.626938,0.0,bottom
MX10,231.133226,-162.971875,0.0,bottom
MX11,254.510858,-147.845419,0.0,bottom
MX12,281.476049,-146.47998,0.0,bottom
MX13,308.441239,-157.631062,0.0,bottom
MX14,129.015949,-219.88486,0.0,bottom
MX15,147.840929,-237.9628,0.0,bottom
MX16,197.440321,-237.966923,0.0,bottom
MX17,216.265301,-219.888983,0.0,bottom
MX18,235.56388,-201.861897,0.0,bottom
MX19,192.761359,-208.659605,0.0,bottom
MX2,63.805201,-146.475856,0.0,bottom
MX20,212.080834,-190.606846,0.0,bottom
MX3,90.770392,-147.841295,0.0,bottom
MX4,114.148024,-162.967751,0.0,bottom
MX5,172.640625,-162.971875,0.0,bottom
MX6,227.089045,-137.22861,0.0,bottom
MX7,250.621452,-122.010911,0.0,bottom
MX8,277.338697,-120.595312,0.0,bottom
MX9,304.231484,-131.691852,0.0,bottom
R1,179.757125,-101.062014,180.0,top
R10,159.912125,-114.062014,270.0,top
R11,171.499125,-136.825264,90.0,top
R2,168.492125,-109.572014,180.0,top
R3,179.322125,-106.912014,0.0,top
R4,182.392125,-127.852014,0.0,top
R5,183.092125,-123.947014,270.0,top
R6,184.632125,-123.947014,90.0,top
R7,178.562125,-136.272014,180.0,top
R8,173.072125,-117.482014,270.0,top
R9,174.602125,-117.482014,270.0,top
SW1,161.672125,-108.842014,270.0,top
U1,177.414625,-115.162014,0.0,top
U2,172.642125,-111.692014,90.0,top
U3,172.642125,-129.237014,0.0,top
U4,163.512125,-117.892014,270.0,top
Y1,170.356125,-140.381264,180.0,top
